word,positions
al,185;312;340;358;683;928;1122;1128;1825;1942;2044;2054;2060;2078;2262;2762;2784;3331;3542;3654;3915;4031;4559;4609;4681;4785;4948;5007;5047;5284;5340;5769;6282;6325;6487;6494;6811;6966;7517;7619;7960;7984;8026;8034;8040;8115;8152;8179;8269;8329;8622;8956;9099;9230;9565;9671;9675;9769;9808;10153;10414;10418;10705;10810;10865;10878;11265;11556;12917;13562;13588;13744;14316;14659;14703;14705;14707;14710;14926;15092;15967;16019;16145;16155;16374;16633;16638;16673;16688;16775;17108;17464;17918;17946;17987;18169;18224;18580;18609;18673;18681;18723;18732;18770;18819;18938;19259;19432;19474;19516;19629;19742;20411;20424;20602;20639;20821;21408;21572;21607;22056;22086;22484;22625;22632;22649;22661;22667;23097;23108;23178;23220;23296;23498;23593;23595;23949;24035
alab,18099
alaba,927
alabando,1755;2243;24055
alabar,18788
alabaron,24040
alabastro,7127
alas,14377
alegra,264;7694;10454;24047
alegrarn,270
alegraron,1118;20724
alegremente,18785
alej,788;21435
alejaban,9469
alejada,11035
alejar,517;4313
alejaron,1783
alejo,3555
alerta,20052
alfeo,5446
algo,5312;7205;8725;9025;12292;19426;21320;23854;23866
algodn,1625;1738
algrate,574;8590
algrense,5611;10515;15289;15363
alguien,7885;8537;8819;9241;9829;11503;14100;14538;14554;14979;18696
alguna,4146;13839;21970
algunas,4655;7519
alguno,11145;13607;16646;20533;20918
alguno5,696
algunos,77;5139;8876;9341;11371;12180;13621;14259;14270;14283;18822;19161;19551;19771;19986;20213;22190;23519
alianza,1350;21010
alimenta,12833
alimentaba,8191
alimentaban,8240
alimentan,22601
alimentando,15488
alimentaron,11635
alimentarse,16339
alistar,348
aljate,3454;4420
aljense,14203
all,1600;3337;5242;8183;8322;8812;8816;10208;10278;11593;12709;13037;15441;16499;16985;17028;17285;18950;20862;21071;22656
alma,926;2188;10716;12749
almacenar,12690;12710
almorzara,11903
almuerzo,14667
alojarse,18211
alrededor,1216;1677;2603;5336;6652;11659;13783;21586
alrededores,4083;9006
alta,3402;17184
altar,216;12223
alter,9395
alto,651;713;1401;1445;1767;5892;8103;24008
altsimo,18820
alz,11617
alzado,1292
ama,6346;7368;14986
amado,3050;7357;9533;19255
amamanten,20321
aman,5797;5802;5810;5815;12038;19878
amanecer,23109
amanecer17,1442
amaneci,4198;21916
amantes,16172
amar,7246;16144
amargamente,21869
amarrado,18686
amarrar,2909
amars,10704
